#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  2.87325  2.11662  2.83552  2.84854   42004081
               -2               1               1              HB  3.64909  3.37274  4.07177  3.21169   42004101
               -3               1               1              HB  3.28222  3.36694  3.58370  3.18487   42004181
               -4               1               1              HB  2.97100  1.82894  2.78588  2.17143   42004201
               -5               1               1              HB  3.94483  3.63492  3.80549  3.53419   42004281
               -6               1               1              HB  3.13525  3.08306  3.73568  2.76972   42004301
               -7               1               1              HB  3.51900  3.45925  3.80496  3.56875   42004381
               -8               1               1              HB  3.54397  3.51323  4.10302  3.06564   42004401
               -9               1               1              HB  1.81750  2.74139  3.00068  2.07292   42004481
              -10               1               1              HB  3.17067  3.35447  3.65789  3.22548   42004501
              -11               1               1              HB  2.56139  2.50922  2.79239  2.71969   42004581
              -12               1               1              HB  2.12458  2.98963  3.06639  2.79694   42004601
              -13               1               1              HB  3.11144  2.73308  3.91857  3.51008   42004681
              -14               1               1              HB  3.47245  3.81692  3.90049  3.76213   42004701
              -15               1               1              HB  3.68316  3.40822  4.26436  3.45674   42004781
              -15               1               2              HB  2.91218  3.09062  3.28428  3.19172   42008781
              -16               1               1              HB  3.09332  3.73052  2.86654  2.67788   42004801
              -16               1               2              HB  3.10143  3.37336  3.75182  2.94901   42008801
               -1               2               1              HB  3.07078  2.64285  3.19613  1.98788   42004082
               -2               2               1              HB  4.67283  2.19637  4.61496  1.89770   42004102
               -3               2               1              HB  3.67116  3.16059  4.14386  2.89736   42004182
               -4               2               1              HB  1.70891  2.37657  2.04220  2.72200   42004202
               -5               2               1              HB  3.99058  2.55368  4.50065  2.87403   42004282
               -6               2               1              HB  2.47836  2.17453  2.38098  2.10174   42004302
               -7               2               1              HB  2.08403  2.51840  2.45620  2.41116   42004382
               -8               2               1              HB  2.96128  3.90372  3.82559  4.39145   42004402
               -9               2               1              HB  2.76016  3.53044  3.15929  3.53402   42004482
              -10               2               1              HB  3.30884  4.44036  3.32155  4.58609   42004502
              -11               2               1              HB  2.04320  2.87228  2.35144  3.06371   42004582
              -12               2               1              HB  2.45324  2.92108  2.16069  1.85066   42004602
              -13               2               1              HB  3.15250  2.79639  3.22642  2.82428   42004682
              -14               2               1              HB  3.93069  2.73109  4.16382  2.51193   42004702
              -15               2               1              HB  3.79604  2.66378  4.17306  3.11471   42004782
              -15               2               2              HB  2.35575  3.64707  3.10426  3.61911   42008782
              -16               2               1              HB  1.93436  3.77351  2.45994  3.86509   42004802
              -16               2               2              HB  3.54374  2.44543  3.83249  2.92442   42008802
               -1               3               1              HB  1.99241  2.84980  2.72207  2.42572   42004083
               -2               3               1              HB  3.36076  3.35829  3.81695  3.25591   42004103
               -3               3               1              HB  3.70988  3.71138  4.05132  3.75531   42004183
               -4               3               1              HB  2.61883  3.07037  3.20815  3.26797   42004203
               -5               3               1              HB  3.48221  3.13375  3.56540  3.38814   42004283
               -6               3               1              HB  3.28894  3.16000  3.47305  2.86244   42004303
               -7               3               1              HB  3.86615  4.07475  4.40627  4.03949   42004383
               -8               3               1              HB  3.47801  3.67083  3.34553  3.28670   42004403
               -9               3               1              HB  3.45823  3.44165  3.81901  3.54883   42004483
              -10               3               1              HB  3.92470  4.10902  4.20232  4.14553   42004503
              -11               3               1              HB  3.63763  3.65299  4.04732  3.58381   42004583
              -12               3               1              HB  3.12134  3.27284  3.53926  3.07319   42004603
              -13               3               1              HB  1.15017  1.77679  2.08251  1.80058   42004683
              -14               3               1              HB  3.31970  3.45961  3.82877  3.48709   42004703
              -15               3               1              HB  4.58789  4.58359  4.66399  4.21788   42004783
              -15               3               2              HB  2.80658  2.88827  3.44424  2.83289   42008783
              -16               3               1              HB  3.19805  3.02967  3.86946  3.27471   42004803
              -16               3               2              HB  4.02349  4.40189  4.56453  4.26785   42008803
               -1               4               1              HB  2.85439  2.41991  3.29368  2.62790   42004084
               -2               4               1              HB  3.16698  3.60467  3.79147  3.49784   42004104
               -3               4               1              HB  3.73400  3.63392  4.09554  3.52745   42004184
               -4               4               1              HB  2.96597  3.68749  3.80789  3.27367   42004204
               -5               4               1              HB  3.54408  4.12193  4.23530  3.79274   42004284
               -6               4               1              HB  3.19849  3.62120  3.81929  3.61088   42004304
               -7               4               1              HB  2.67852  2.84551  3.08580  2.78825   42004384
               -8               4               1              HB  2.19809  3.22651  3.20649  3.58352   42004404
               -9               4               1              HB  3.28312  3.07134  2.91419  2.80927   42004484
